fight_id,fighter_id,round,kd,sig_str,total_str,td,sub_att,reversals,ctr_time,head,body,leg,distance,clinch,ground
4691,2656,2,0,30 of 64,57 of 98,0 of 0,0,0,2:47,30 of 64,0 of 0,0 of 0,3 of 18,0 of 0,27 of 46
4691,1712,1,0,20 of 65,20 of 65,0 of 0,0,0,0:00,19 of 61,1 of 4,0 of 0,20 of 65,0 of 0,0 of 0
4691,1712,2,0,4 of 15,4 of 15,0 of 1,0,0,0:00,4 of 15,0 of 0,0 of 0,4 of 15,0 of 0,0 of 0
4692,551,1,0,21 of 39,24 of 42,0 of 0,0,0,0:03,15 of 32,5 of 6,1 of 1,20 of 34,1 of 2,0 of 3
4692,551,2,0,23 of 52,23 of 52,0 of 0,0,0,0:39,16 of 45,7 of 7,0 of 0,20 of 48,3 of 4,0 of 0
4692,551,3,0,38 of 68,39 of 69,0 of 1,0,0,0:02,29 of 57,8 of 10,1 of 1,38 of 65,0 of 3,0 of 0
4692,452,1,0,18 of 49,34 of 66,2 of 5,0,0,2:19,12 of 37,4 of 6,2 of 6,12 of 37,3 of 4,3 of 8
4692,452,2,0,23 of 79,28 of 84,0 of 2,0,0,0:24,18 of 70,2 of 4,3 of 5,21 of 74,2 of 5,0 of 0
4692,452,3,0,37 of 108,47 of 120,1 of 2,0,0,0:57,31 of 97,4 of 7,2 of 4,33 of 99,2 of 7,2 of 2
4693,822,1,0,9 of 33,9 of 33,0 of 1,0,0,0:00,5 of 26,3 of 6,1 of 1,9 of 31,0 of 2,0 of 0
4693,822,2,0,3 of 21,4 of 22,0 of 0,0,0,0:00,2 of 20,1 of 1,0 of 0,3 of 21,0 of 0,0 of 0
4693,822,3,0,2 of 10,5 of 13,0 of 0,0,0,0:00,1 of 9,1 of 1,0 of 0,1 of 8,1 of 1,0 of 1
4693,1975,1,0,35 of 55,35 of 55,0 of 1,0,0,0:00,12 of 26,7 of 10,16 of 19,35 of 55,0 of 0,0 of 0
4693,1975,2,0,20 of 29,36 of 46,1 of 2,0,0,3:59,16 of 24,1 of 2,3 of 3,12 of 17,0 of 0,8 of 12
4693,1975,3,0,16 of 27,46 of 66,1 of 4,0,0,4:19,14 of 24,0 of 1,2 of 2,3 of 9,0 of 0,13 of 18
4694,4063,1,0,5 of 6,6 of 7,0 of 0,1,0,1:13,1 of 2,1 of 1,3 of 3,4 of 5,0 of 0,1 of 1
4694,4063,2,0,6 of 8,49 of 52,0 of 0,0,0,4:27,1 of 3,0 of 0,5 of 5,5 of 5,0 of 0,1 of 3
4694,4063,3,0,31 of 57,31 of 57,0 of 0,0,0,0:00,7 of 21,6 of 17,18 of 19,31 of 57,0 of 0,0 of 0
4694,1367,1,0,6 of 16,8 of 18,1 of 5,0,0,2:50,1 of 10,2 of 3,3 of 3,4 of 10,2 of 4,0 of 2
4694,1367,2,0,4 of 6,34 of 37,0 of 1,0,0,0:00,0 of 2,0 of 0,4 of 4,4 of 6,0 of 0,0 of 0
4694,1367,3,0,19 of 53,19 of 53,0 of 0,0,0,0:00,2 of 31,9 of 14,8 of 8,19 of 53,0 of 0,0 of 0
4695,3970,1,0,9 of 36,11 of 38,0 of 1,0,0,0:25,8 of 35,0 of 0,1 of 1,8 of 33,0 of 2,1 of 1
4695,3970,2,0,8 of 30,8 of 30,0 of 2,0,0,0:13,6 of 26,0 of 2,2 of 2,8 of 29,0 of 1,0 of 0
4695,3970,3,0,9 of 54,10 of 55,0 of 1,0,0,0:15,8 of 51,1 of 3,0 of 0,9 of 51,0 of 3,0 of 0
4695,3970,4,0,8 of 28,11 of 32,1 of 2,0,0,1:12,8 of 27,0 of 1,0 of 0,6 of 26,1 of 1,1 of 1
4695,3970,5,0,6 of 26,6 of 26,0 of 6,0,0,0:00,4 of 24,2 of 2,0 of 0,6 of 25,0 of 1,0 of 0
4695,21,1,0,14 of 35,14 of 35,0 of 0,0,0,0:00,4 of 21,3 of 5,7 of 9,13 of 34,1 of 1,0 of 0
4695,21,2,0,25 of 49,25 of 49,0 of 1,0,0,0:12,13 of 34,5 of 7,7 of 8,24 of 46,1 of 3,0 of 0
4695,21,3,0,27 of 50,28 of 51,0 of 1,0,0,0:02,12 of 31,6 of 8,9 of 11,23 of 45,4 of 4,0 of 1
4695,21,4,0,28 of 37,32 of 41,0 of 0,0,0,0:12,17 of 26,5 of 5,6 of 6,19 of 28,6 of 6,3 of 3
